Web,Ecotype,Error_type
WEB257,estuary,Added links for decimal values
WEB258,estuary,Added links for decimal values
WEB259,estuary,Added links for decimal values
WEB260,estuary,Added links for decimal values
WEB261,estuary,Added links for decimal values
WEB262,estuary,Added links for decimal values
WEB288,estuary,Added links for decimal values
WEB114,lake,Added a link for -1
WEB117,lake,Added a link for -1
WEB120,lake,Added a link for -1
WEB250,lake,Added links for decimal values
WEB269,lake,Commas in header
WEB289,lake,Added links for decimal values
WEB294,lake,Rotated
WEB296,lake,Commas in header
WEB38,lake,Added a link for -1
WEB39,lake,Commas in header
WEB253,marine,Added links for decimal values
WEB265,marine,Added links for decimal values
WEB266,marine,Added links for decimal values
WEB267,marine,Added links for decimal values
WEB268,marine,Added links for decimal values
WEB290,marine,Added links for decimal values
WEB293,marine,Added links for decimal values
WEB320,marine,"Commas in header, sum row"
WEB321,marine,"Commas in header, sum row"
WEB322,marine,"Commas in header, sum row"
WEB323,marine,Commas in header
WEB324,marine,"Commas in header, sum row"
WEB333,marine,Rotated and +/- instead of 1/0
WEB339,marine,Added links for decimal values
WEB37,marine,Added a link for -1
WEB119,stream,Added a link for -1
WEB202,stream,Added a link for -1
WEB213,stream,Added a link for -1
WEB249,stream,Added links for decimal values
WEB252,stream,Added links for decimal values
WEB254,stream,Added links for decimal values
WEB255,stream,Added links for decimal values
WEB153,terrestrial,Added a link for -1
WEB154,terrestrial,Added a link for -1
WEB18,terrestrial,Added a link for -1
WEB180,terrestrial,Added a link for -1
WEB181,terrestrial,Added a link for -1
WEB182,terrestrial,Added a link for -1
WEB183,terrestrial,Added a link for -1
WEB22,terrestrial,Added a link for -1
WEB23,terrestrial,Commas in row names
WEB24,terrestrial,Added a link for -1
WEB26,terrestrial,Added a link for -1
WEB60,terrestrial,Nonsensical species names
